kare,sn,ana_sembol,kucuk_burc_1,kucuk_burc_2
0,0.0,1.0,1.0,1.0
1,0.033,1.0,1.0,0.9879
2,0.067,1.0,1.0,0.9724
3,0.1,1.0,1.0,0.9725
4,0.133,1.0,1.0,0.9725
5,0.167,1.0,1.0,0.9725
6,0.2,1.0,1.0,0.9725
7,0.233,1.0,1.0,0.9725
8,0.267,1.0,1.0,0.9725
9,0.3,1.0,1.0,0.9725
10,0.333,1.0,1.0,0.9725
11,0.367,1.0,1.0,0.9725
12,0.4,1.0,1.0,0.9725
13,0.433,0.9785,0.7901,0.7933
14,0.467,0.9577,0.5731,0.6217
15,0.5,0.9381,0.347,0.4491
16,0.533,0.9196,0.1804,0.2709
17,0.567,0.8754,0.0684,0.1283
18,0.6,0.8399,0.0023,0.005
19,0.633,0.8395,0.002,0.0
20,0.667,0.8394,0.0022,0.0
21,0.7,0.8394,0.0022,0.0
22,0.733,0.8394,0.0,0.0
23,0.767,0.8393,0.0,0.0
24,0.8,0.8393,0.0,0.0
25,0.833,0.8394,0.0,0.0
26,0.867,0.8395,0.0,0.0
27,0.9,0.8389,0.0,0.0
28,0.933,0.8385,0.0065,0.0
29,0.967,0.8381,0.0069,0.0
30,1.0,0.8377,0.0085,0.0
31,1.033,0.8351,0.0,0.0
32,1.067,0.8329,0.0,0.0
33,1.1,0.8311,0.0,0.0
34,1.133,0.8299,0.0,0.0
35,1.167,0.8271,0.0,0.0
36,1.2,0.8249,0.0,0.0
37,1.233,0.8217,0.0,0.0
38,1.267,0.8205,0.0,0.0
39,1.3,0.8165,0.0,0.0
40,1.333,0.8131,0.0,0.0
41,1.367,0.8106,0.0,0.0
42,1.4,0.8082,0.0,0.0
43,1.433,0.8039,0.0,0.0
44,1.467,0.7998,0.0,0.0
45,1.5,0.796,0.0,0.0
46,1.533,0.7933,0.0,0.0
47,1.567,0.7875,0.0,0.0
48,1.6,0.7825,0.0,0.0
49,1.633,0.7767,0.004,0.0
50,1.667,0.7723,0.0065,0.0
51,1.7,0.759,0.0122,0.0
52,1.733,0.7475,0.0176,0.0
53,1.767,0.7285,0.041,0.0
54,1.8,0.713,0.0216,0.0
55,1.833,0.6848,0.0474,0.0
56,1.867,0.6591,0.0619,0.0
57,1.9,0.6301,0.0659,0.0
58,1.933,0.6055,0.0741,0.0
59,1.967,0.5725,0.096,0.0
60,2.0,0.5474,0.0586,0.0
61,2.033,0.5204,0.0067,0.0
62,2.067,0.4966,0.0,0.0
63,2.1,0.4594,0.0,0.0
64,2.133,0.44,0.0,0.0
65,2.167,0.4101,0.0,0.0
66,2.2,0.3962,0.0,0.0
67,2.233,0.3682,0.0,0.0
68,2.267,0.3551,0.0,0.0
69,2.3,0.3362,0.0,0.0086
70,2.333,0.326,0.0,0.0617
71,2.367,0.3111,0.0,0.0542
72,2.4,0.3059,0.0,0.0472
73,2.433,0.2966,0.0029,0.0422
74,2.467,0.2928,0.0082,0.0583
75,2.5,0.2869,0.0051,0.0438
76,2.533,0.2842,0.0107,0.0513
77,2.567,0.2829,0.002,0.0464
78,2.6,0.2824,0.0031,0.037
79,2.633,0.2777,0.0,0.032
80,2.667,0.2759,0.0,0.0211
81,2.7,0.2748,0.0,0.0185
82,2.733,0.2748,0.0125,0.0133
83,2.767,0.2705,0.0096,0.0039
84,2.8,0.2695,0.0071,0.0005
85,2.833,0.2695,0.0058,0.0166
86,2.867,0.2696,0.0038,0.0
87,2.9,0.2676,0.004,0.0
88,2.933,0.2667,0.0031,0.0075
89,2.967,0.2657,0.0029,0.0057
90,3.0,0.2656,0.0018,0.0052
91,3.033,0.264,0.0022,0.0062
92,3.067,0.2641,0.0027,0.006
93,3.1,0.2637,0.002,0.006
94,3.133,0.2636,0.002,0.0054
95,3.167,0.2619,0.0022,0.0057
96,3.2,0.2613,0.0024,0.0062
97,3.233,0.2611,0.0024,0.0062
98,3.267,0.2613,0.0022,0.0065
99,3.3,0.2602,0.0029,0.008
100,3.333,0.2597,0.0022,0.0091
101,3.367,0.2595,0.0,0.0062
102,3.4,0.2603,0.0156,0.025
103,3.433,0.2587,0.0363,0.0399
104,3.467,0.258,0.0639,0.0529
105,3.5,0.2501,0.1147,0.1206
106,3.533,0.2461,0.167,0.2103
107,3.567,0.2422,0.2318,0.3007
108,3.6,0.2387,0.2781,0.3721
109,3.633,0.227,0.4053,0.4413
110,3.667,0.2234,0.4923,0.5256
111,3.7,0.2171,0.5927,0.5937
112,3.733,0.2109,0.6916,0.6812
113,3.767,0.2026,0.7381,0.6865
114,3.8,0.2,0.7793,0.6586
115,3.833,0.1949,0.8858,0.7748
116,3.867,0.1917,0.9659,0.8804
117,3.9,0.1893,0.9653,0.9245
118,3.933,0.1896,0.9655,0.9257
119,3.967,0.1876,0.9931,1.0
120,4.0,0.1887,0.9931,1.0
121,4.033,0.1883,0.9964,1.0
122,4.067,0.1887,0.9964,1.0
123,4.1,0.1895,1.0,1.0
124,4.133,0.1906,1.0,1.0
125,4.167,0.1909,1.0,1.0
126,4.2,0.1912,1.0,1.0
127,4.233,0.1908,1.0,1.0
128,4.267,0.1904,1.0,1.0
129,4.3,0.1904,1.0,1.0
130,4.333,0.1906,1.0,1.0
131,4.367,1.0,1.0,1.0
132,4.4,0.9997,1.0,1.0
133,4.433,0.9996,1.0,1.0
134,4.467,0.9996,1.0,1.0
135,4.5,0.9994,1.0,1.0
136,4.533,0.9997,1.0,1.0
137,4.567,0.9997,1.0,1.0
